===== VARIABLE INDEX (what the modder searches to find an index) =====
# normal variables  V[n] = row n of 通常変数名
  V[0]  一時数値
  V[2]  えっちばとる、勝利シーン中？
  V[3]  戦闘中？
  V[4]  モンスターバトル飛ばす？
  V[5]  顔グラフィック用変数呼び出し
  V[6]  天気変数
  V[7]  文章に立ち絵表示しない？
  V[8]  室内用内部天気
  V[10]  勝利BGM再生
  V[13]  相手立ち絵シルエット表示？
  V[14]  マップ移動コモン、戦闘敗北後？
  V[17]  ボククン最初の反応みた？
  V[18]  味方出撃中モンスターレベル
  V[19]  味方出撃中モンスターﾃﾞｰﾀID
  V[20]  味方入れ替えた？
  V[21]  敵補充した？
  V[23]  戦闘勝利後、イベントある為基本ＵＩ消す？
  V[24]  勝ち１負け２
  V[25]  捕獲した？
  V[26]  勝利シーンする？
  V[30]  マップ基準レベル
  V[31]  マップトレーナー基準ランク値
  V[32]  レベル上限値
  V[33]  賞金用最後に出たモンスターのレベル
  V[38]  [並列]タイトル走る？
  V[41]  [並列]モンスタードライブ背景演出変数
  V[42]  [並列]女の子図鑑背景演出変数
  V[43]  [並列]勝利シーンスキル背景演出変数
  V[45]  [並列]アテンド電話かける音
  V[50]  [並列]コネクトスキル表示
  V[51]  コネクト種類
  V[52]  コネクト効果値
  V[53]  コネクト効果時間
  V[54]  コネクト減少ﾀｲﾐﾝｸﾞ(1=1歩,2=戦闘終了,）
  V[55]  コネクト使った？(1歩目用)
  V[56]  コネクト使用モンスターＩＤ
  V[57]  コネクトスキル初コンバート用
  V[60]  釣り用並列
  V[65]  マップ名、0トンネル、1鍾乳洞
  V[66]  ユウレイ城、カワカブリソロ？
  V[70]  BFハート出現コモン起動変数
  V[71]  ハートの数
  V[75]  システムメッセージ起動変数
  V[80]  [並列]モンドラ-コネクトスキル表示？
  V[81]  モンドラコネクト表示中モンスターＩＤ
  V[91]  ヒロイン精液キャラチップに？
  V[92]  デバイサーEvID(-1=主)(勝利シーン後に精液かけたり等）
  V[93]  野生=天気特殊設定かどうか変数
  V[94]  野生レッドアイ？
  V[95]  ジムリーダー？
  V[97]  男トレーナー？
  V[98]  敵立ち絵有？
  V[99]  敵 野生=0,トレーナー=1
  V[100]  DB 敵モIDorﾄﾚｰﾅｰID
  V[101]  敵出撃中のモンスターデータID
  V[102]  敵出撃中モンスターレベル
  V[103]  1匹目の敵のID
  V[104]  1匹目の敵のレベル
  V[105]  2匹目の敵のID
  V[106]  2匹目の敵のレベル
  V[107]  3匹目の敵のID
  V[108]  3匹目の敵のレベル
  V[109]  4匹目の敵のID
  V[112]  敵ランク値
  V[120]  野生用ランク値-HP
  V[121]  野生用ランク値-ATK
  V[122]  野生用ランク値-DEF
  V[123]  野生用ランク値-POW
  V[124]  野生用ランク値-RES
  V[125]  野生用ランク値-AGI
  V[126]  野生用ランク値-LUK
  V[127]  野生用ランク値-ブランク
  V[128]  野生用ランク値-ブランク
  V[129]  野生用ランク値-ブランク
  V[130]  属性相性%
  V[138]  アプデ前レベル
  V[140]  野生用アップデート前HP
  V[141]  野生用アップデート前ATK
  V[142]  野生用アップデート前DEF
  V[145]  野生用アップデート前AGI

# spare variables  V[group*100000 + n]  (予備変数1..9)
  V[100000]  息遣い
  V[100001]  シーンアニメ変数
  V[100002]  シーンアニメ再生中?
  V[100003]  顔の位置(Numｷｰ配置)
  V[100004]  息遣い種類（0=無,1=旧,2=新)
  V[100005]  シーンピクチャはじめ
  V[100006]  シーンピクチャ終わり
  V[100007]  精液ﾋﾟｸﾁｬ
  V[100008]  拡大位置Ｘ
  V[100009]  拡大位置Ｙ
  V[100010]  シーン行動選択チュートリアル
  V[100012]  シーン体位管理
  V[100014]  勝利シーン中？
  V[100015]  ３Ｐシーン変数
  V[100016]  勝利シーン中、体位変更可能？
  V[100017]  シーンＣＧ表情番号
  V[100018]  勝利シーン用ピストン速度
  V[100019]  シーンＣＧ２番表情番号
  V[100020]  体位変更中？
  V[100022]  相手ヒロインキャラチップ動作変数
  V[100023]  ボククンキャラチップ動作変数
  V[100024]  GOGOベッドバキバキン飲ませた？
  V[100025]  [並列]アテンド通信中テキスト表示(99で消去)
  V[100026]  [並列]アテンド通信中背景演出変数
  V[100027]  バックアタックした？
  V[100030]  えっちばとる、勝利シーン勝利経験値
  V[100033]  BGS音量補正保存(えっちばとる用)
  V[100035]  つるシーン変数
  V[100037]  ヴェラ用、しめつけるにピンクフラッシュ
  V[100038]  ぴゅっぴゅ射精コモンVC,射精じゃなく絶頂再生？
  V[100039]  ぴゅっぴゅ射精コモン精液、次のやつ表示？
  V[100040]  途中ぴゅっぴゅコモン空イキ？
  V[100042]  ３Ｐ用息遣い２
  V[100043]  パイズリ用息遣い
  V[300000]  プロローグ変数
  V[300001]  所持スター数
  V[300002]  [並列]はばたきスター獲得
  V[300003]  はばたきジム入れる？
  V[300004]  はばたきジムクリア？
  V[300005]  ファストポート変数
  V[300006]  2⇔3番道路味方ライバルイベント
  V[300007]  ファストポートイベント見た？
  V[300008]  [並列]エレベーター揺れ
  V[300009]  ファストポートへの道モンスター数
  V[300010]  エントリーシート発行？
  V[300011]  ミニスカショートおつかい変数
  V[300012]  ジム入港イベントみた？
  V[300013]  自転車情報会話（味方ライバル
  V[300015]  ルーターポートチケット持ってる？
  V[300016]  マップ移動で汽笛鳴らす？
  V[300018]  飼育小屋おじさん変数
  V[300020]  自転車受け取った？
  V[300022]  ヨドノモリ逃がしたイベント
  V[300023]  ヨドノモリＷイベント
  V[300024]  ヨドノモリＷ画面固定変数
  V[300025]  琵琶シティジム入れる？
  V[300026]  琵琶シティ波乗り覚えるイベント
  V[300027]  琵琶シティ水着取り返した？
  V[300028]  琵琶シティアドミンジムに戻った？
